News_Source,Title,Source_URL,Publish_Date,Category,Summary,Scrape_Date
Utusan Malaysia,Keputusan Liga Juara-juara UEFA,https://www.utusan.com.my/terkini/2025/09/keputusan-liga-juara-juara-uefa-2/?utm_source=rss&utm_medium=rss&utm_campaign=keputusan-liga-juara-juara-uefa-2,"Wed, 17 Sep 2025 02:40:47 +0000",Bola Sepak,Keputusan Liga Juara-Juara UEFA yang berlangsung awal pagi tadi.,2025-09-17
Utusan Malaysia,Lebih 100 rakyat Palestin terkorban serangan intensif Israel di Gaza,https://www.utusan.com.my/luar-negara/2025/09/lebih-100-rakyat-palestin-terkorban-serangan-intensif-israel-di-gaza/?utm_source=rss&utm_medium=rss&utm_campaign=lebih-100-rakyat-palestin-terkorban-serangan-intensif-israel-di-gaza,"Wed, 17 Sep 2025 02:30:55 +0000",Asia Barat,"GAZA: Lebih 100 rakyat Palestin terbunuh dalam serangan terbaharu Israel di seluruh Semenanjung Gaza, menurut sumber perubatan yang dipetik agensi Anadolu. Sumber berkenaan memaklumkan sekurang-kurangnya 86 mayat dibawa ke hospital di Gaza City sahaja, berikutan pengeboman Israel yang semakin hebat.",2025-09-17
Utusan Malaysia,Dua penalti Mbappe selamatkan Real Madrid,https://www.utusan.com.my/terkini/2025/09/dua-penalti-mbappe-selamatkan-real-madrid/?utm_source=rss&utm_medium=rss&utm_campaign=dua-penalti-mbappe-selamatkan-real-madrid,"Wed, 17 Sep 2025 02:25:42 +0000",Bola Sepak,"MADRID: Kylian Mbappe muncul wira apabila meledak dua gol menerusi sepakan penalti untuk membantu Real Madrid bangkit menewaskan Marseille 2-1 dalam aksi pembukaan Liga Juara-Juara, awal pagi tadi. Marseille mengejutkan tuan rumah apabila Timothy Weah menjaringkan gol pertama sebelum Mbappe menyamakan kedudukan, manakala Dani Carvajal dibuang padang selepas bertelagah dengan penjaga gol lawan, Geronimo Rulli.",2025-09-17
Utusan Malaysia,"‘Takdir, ujian dan nikmat kita semua berbeza’",https://www.utusan.com.my/gaya/2025/09/takdir-ujian-dan-nikmat-kita-semua-berbeza/?utm_source=rss&utm_medium=rss&utm_campaign=takdir-ujian-dan-nikmat-kita-semua-berbeza,"Wed, 17 Sep 2025 02:13:00 +0000",BERITA,"PETALING JAYA: Penyanyi, Amira Othman menyifatkan hari bahagianya pada 14 September lalu merupakan tarikh yang bermakna dalam sejarah hidupnya. Bergelar isteri kepada pelakon, Fattah Amin, Amira menganggap penyatuan itu merupakan rahsia Tuhan yang paling indah dalam hidupnya. “Alhamdulillah. 14/9 adalah tarikh yang sangat bermakna buat saya.",2025-09-17
Utusan Malaysia,Pemain gantian selamatkan Arsenal di Bilbao,https://www.utusan.com.my/terkini/2025/09/pemain-gantian-selamatkan-arsenal-di-bilbao/?utm_source=rss&utm_medium=rss&utm_campaign=pemain-gantian-selamatkan-arsenal-di-bilbao,"Wed, 17 Sep 2025 02:12:02 +0000",Bola Sepak,"BILBAO: Arsenal memulakan kempen Liga Juara-Juara dengan penuh bergaya apabila dua pemain gantian, Gabriel Martinelli dan Leandro Trossard memastikan kemenangan 2-0 ke atas Athletic Bilbao, awal pagi tadi.",2025-09-17
Utusan Malaysia,Kelantan negeri terbaharu dilanda banjir,https://www.utusan.com.my/nasional/2025/09/kelantan-negeri-terbaharu-dilanda-banjir/?utm_source=rss&utm_medium=rss&utm_campaign=kelantan-negeri-terbaharu-dilanda-banjir,"Wed, 17 Sep 2025 02:11:13 +0000",BERITA,"PETALING JAYA: Seramai 3,118 mangsa banjir daripada 914 keluarga ditempatkan di 28 pusat pemindahan sementara (PPS) di tiga negeri setakat pukul 10.30 pagi ini. Menurut Portal Info Bencana Jabatan Kebajikan Masyarakat (JKM), jumlah itu menunjukkan peningkatan berbanding semalam dengan melibatkan Sabah, Kelantan dan Sarawak.",2025-09-17
Utusan Malaysia,Kakitangan Sabah Electricity dipercayai hilang dibawa arus deras,https://www.utusan.com.my/nasional/2025/09/kakitangan-sabah-electricity-dipercayai-hilang-hanyut-arus-deras/?utm_source=rss&utm_medium=rss&utm_campaign=kakitangan-sabah-electricity-dipercayai-hilang-hanyut-arus-deras,"Wed, 17 Sep 2025 02:07:53 +0000",BERITA,"PETALING JAYA: Seorang kakitangan Sabah Electricity Sdn. Bhd. (SESB) dipercayai hilang selepas dihanyutkan arus deras ketika sedang menjalankan tugas di Keningau Sabah malam tadi. SESB dalam kenyataan berkata, pasukan penyelamat bersama pihak berkuasa telah digerakkan dalam usaha mencari dan menyelamat mangsa.",2025-09-17
Utusan Malaysia,"Pekerja gig Indonesia rancang protes baharu, tuntut nasib dibela",https://www.utusan.com.my/berita/2025/09/pekerja-gig-indonesia-rancang-protes-baharu-tuntut-nasib-dibela/?utm_source=rss&utm_medium=rss&utm_campaign=pekerja-gig-indonesia-rancang-protes-baharu-tuntut-nasib-dibela,"Wed, 17 Sep 2025 02:00:33 +0000",Asia Tenggara,"JAKARTA: Kumpulan penunggang motosikal e-hailing di Indonesia bersedia melancarkan gelombang gerakan besar-besaran yang dinamakan sebagai Revolusi Ojol, jika kerajaan masih gagal membela nasib pekerja industri itu.",2025-09-17
Utusan Malaysia,Kemudahan Zoo Negara pikat pengunjung,https://www.utusan.com.my/nasional/2025/09/kemudahan-zoo-negara-pikat-pengunjung/?utm_source=rss&utm_medium=rss&utm_campaign=kemudahan-zoo-negara-pikat-pengunjung,"Wed, 17 Sep 2025 02:00:31 +0000",BERITA,"KUALA LUMPUR: Zoo Negara menjadi destinasi pilihan utama keluarga sempena cuti sekolah apabila rata-rata pengunjung berpuas hati dengan harga tiket berpatutan serta kemudahan mesra kanak-kanak yang ditawarkan. Beberapa pengunjung dari sekitar Lembah Klang mengakui, kunjungan kali ini lebih selesa kerana kemudahan seperti tram dan promosi tiket khas hari lahir menarik perhatian orang ramai.",2025-09-17
Utusan Malaysia,"Solat hajat di masjid, surau Jakim dan Jawi demi kesejahteraan Sabah",https://www.utusan.com.my/nasional/2025/09/solat-hajat-di-masjid-surau-jakim-dan-jawi-demi-kesejahteraan-sabah/?utm_source=rss&utm_medium=rss&utm_campaign=solat-hajat-di-masjid-surau-jakim-dan-jawi-demi-kesejahteraan-sabah,"Wed, 17 Sep 2025 01:56:17 +0000",BERITA,"PETALING JAYA: Semua masjid dan surau di bawah seliaan Jabatan Kemajuan Islam Malaysia (Jakim) dan Jabatan Agama Islam Wilayah Persekutuan (JAWI) diarahkan melaksanakan solat hajat bagi mendoakan kesejahteraan seluruh rakyat di Sabah yang terjejas akibat banjir dan tanah runtuh. Menteri di Jabatan Perdana Menteri (Hal Ehwal Agama), Datuk Dr. Mohd.",2025-09-17
